gid,stream_name,reservation,site_number,river_basin,river_code,drainage_area(mi2),survey_reach(ft),latitude,longitude,river_mile,date,scorers,comments,stream_channel_mod,substrate_metric_total,percent_best_types,substrate_metric_a,substrate1,substrate2,per_boulder_slabs,per_boulder_256mm,per_bedrock,per_cobble,per_gravel,per_sand,per_silt,per_leaf_woody,per_detritus,per_clay_hardpan,per_muck,per_artificial,substrate_metric_b,pool_metric_total,pool_depth_(cm),bankfull_metric_total,average_bankfull_(m),riparian_width_left,riparian_width_right,floodplain_quality_left,floodplain_quality_right,flow_regime,sinuosity,stream_gradient,qhei_done,designated_use,watershed,usgs_quad,soil_map_page,soil_map_order,county,city_twp_name,base_flow,date_last_rain,amt_last_rain,turbid,%_canopy_open,water_sample,temp,dissolved_oxygen_mgl,ph,conductivity,reach_representative,fish_observed,fish_sample_method,fish_time_collecting_minutes,frogs_tadpoles_observed,salamanders_observed,salamander_sample_method,salamander_time_collecting_minutes,aquatic_macros_observed,macro_time_collecting_minutes,macro_vouchers_collected,macro_comments,mountain_dusky_larvae,mountain_dusky_juveniles,mountain_dusky_adults,northern_dusky_larvae,northern_dusky_juveniles,northern_dusky_adults,two_lined_larvae,two_lined_juveniles,two_lined_adults,long_tailed_larvae,long_tailed_juveniles,long_tailed_adults,northern_red_larvae,northern_red_juveniles,northern_red_adults,mole_larvae,mole_juveniles,mole_adults,four_toed_larvae,four_toed_juveniles,four_toed_adults,red_backed_juveniles,red_backed_adults,slimy_juveniles,slimy_adults,blacknose_dace,bluegill_sunfish,bluntnose_minnow,brindled_madtom,brook_stickleback,brook_trout,brown_trout,central_mudminnow,central_stoneroller_minnow,common_shiner,creek_chub,eastern_sand_darter,fantail_darter,fathead_minnow,golden_shiner,goldfish,grass_pickerel,greenside_darter,green_sunfish,johnny_darter,largemouth_bass,longear_sunfish,longnose_dace,mottled_sculpin,northern_hog_sucker,pumpkinseed_sunfish,rainbow_darter,rainbow_trout,redbelly_dace,redside_dace,river_chub,silverjaw_minnow,smallmouth_bass,spotfin_shiner,stonecat_madtom,striped_shiner,trout_perch,warmouth_sunfish,white_sucker,yellow_bullhead_catfish,unidentified_fish_fry,sessile_animals,aquatic_worms,sow_bugs,scuds,water_mites,damselfly_nymphs,alderfly_larvae,other_beetles,crayfish,dragonfly_nymphs,riffle_beetles,other_flies,midges,snails,clams,fishfly_larvae,water_penny_beetles,cranefly_larvae,ameletidae,arthropleidae,baetidae,baetiscidae,caenidae,ephemerellidae,ephemeridae,heptageniidae,isonychiidae,leptohyphidae,leptophlebiidae,polymitarcyidae,potamanthidae,pseudironidae,siphlonuridae,capniidae,chloroperlidae,leuctridae,nemouridae,peltoperlidae,perlidae,perlodidae,pteronarcyidae,taeniopterygidae,brachycentridae,dipseuodopsidae,glossosomatidae,goeridae,helicopsychidae,hydropsychidae,hydroptilidae,lepidostomatidae,leptoceridae,limnephilidae,molannidae,odontoceridae,philopotamidae,phryganeidae,polycentropodidae,psychomiidae,rhyacophilidae,uenoidae,total_mayfly,total_stonefly,total_caddisfly,total_ept,hhei_score,hmfei_score,hmfei_narrative
"544",,Williams Property,WP-05,"13","100",,200,41.28633,-81.70791,,2016/07/06,"CW, OL, SW, ES",,none/natural channel,"13",2,"6",sand,clay or hardpan,0,1,0,1,24,40,1,3,0,30,0,0,"7","15",7.6,"15",1.3,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,>3.0,moderate to severe,no,WWH,East Branch Rocky River,Broadview Heights,"60","0",Cuyahoga,North Royalton,yes,2016/07/05,0.05,no,18,no,,,,,yes,no,,0,no,yes,visual and dip net,"10",yes,"15",,,,,,,,,,,,,,,,,,,,,,,,,"2",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,common,,,,abundant,common,,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,"1",,"1","2","43","10",Class II/Warm Water
"545",13-100-24.71III-19I,Hinckley,"122","13","100",,200,41.21354,-81.70872,24.71,2008/08/21,"JS, NM",,none/natural channel,"6",3,"0",clay or hardpan,clay or hardpan,0,1,0,2,12,0,2,3,0,80,0,0,"6","15",5.1,"5",0.96,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"3",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","1",Medina,Hinckley,yes,2008/08/14,0.15,no,35,no,18.9,1.4,7.04,0.335,yes,no,,0,yes,no,visual,"10",yes,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,rare,,abundant,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26","5",Class I/Ephemeral
"546",13-100-24.84IV-1I,Oldfield Property ,"4","13","100",0.19,200,41.1975856,-81.7087039,24.84,2021/05/12,CW,,none/natural channel,"22",13,"15",gravel,sand,0,4,0,9,35,27,2,2,0,21,0,0,"7","25",21,"20",2.67,wide,moderate,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate,no,WWH,East Branch Rocky River ,West Richfield,,,Medina,Granger Township,yes,2021/05/09,1.13,no,20,no,10,,,,yes,no,visual and dip net,10,no,yes,visual and dip net,"25",yes,"30",no,,,,,,,,"3","2","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,common,common,,rare,abundant,common,,common,,rare,rare,,very abundant,,,common,,rare,,,,,,,,,common,rare,common,,,common,,,,,,,,abundant,,,,,,,,,rare,,,common,"4","4","3","11","67","47",Class III/Spring Water
"547",13-100-24.10II-1I,Hinckley,"66","13","100",0.00826,200,41.22016,-81.70842,24.1,2008/07/18,"CW, JS, NM",,none/natural channel,"12",1.5,"6",sand,clay or hardpan,0,1,0,0.5,8.5,40,0,12,0,38,0,0,"6","25",12,"15",1.18,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"1",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/13,0.25,no,14,no,20.3,5.3,8.01,0.901,yes,no,,0,no,yes,visual,"15",yes,"25",,,,,,,,,,,"1",,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,abundant,common,,,common,abundant,,rare,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52","10",Class II/Warm Water
"548",13-100-24.71III-20I,Hinckley,"123","13","100",,193,41.21451,-81.70848,24.71,2008/08/22,"CW, JS, NM",,none/natural channel,"4",7,"0",clay or hardpan,clay or hardpan,0,5,0,2,0,0,0,5,0,88,0,0,"4","0",0,"5",1,moderate,moderate,"residential, park, new field","residential, park, new field",ephemeral,"1.5",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/08/14,0.15,no,12,no,,,,,yes,no,,0,no,yes,visual,"10",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","0",Class I/Ephemeral
"549",13-100-24.84IV-2I,Oldfield Property ,"3","13","100",0.0729,200,41.1976059,-81.7086245,24.84,2021/05/12,CW,,none/natural channel,"22",14,"15",gravel,sand,0,5,0,9,46,23,6,4,0,7,0,0,"7","25",15,"20",1.73,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate,no,WWH,East Branch Rocky River ,West Richfield,,,Medina,Granger Township,yes,2021/05/09,1.13,no,35,no,9.5,,,,yes,no,visual and dip net,10,no,yes,visual and dip net,"20",yes,"55",no,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,abundant,,rare,common,common,,,abundant,abundant,common,,,rare,,,very abundant,,,,,abundant,,,,,,,,,common,,abundant,,,rare,,,,,,,,very abundant,,common,rare,rare,,,abundant,,,,rare,abundant,"2","3","7","12","67","49",Class III/Spring Water
"550",13-100-24.10II,Hinckley,"67","13","100",0.0373,200,41.21982,-81.70831,24.1,2019/06/19,"CW, OL, BC",,none/natural channel,"17",6,"9",gravel,clay or hardpan,0,3,0,3,40,20,3,5,2,24,0,0,"8","30",23,"5",0.96,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"3",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","1",Medina,Hinckley,yes,2019/06/18,0.04,no,18,no,17,,,,yes,no,,,no,yes,,,yes,"35",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,abundant,common,,rare,rare,,,,,,,,,,,,,,,,common,,,,,,,,common,,common,,,,,,,,,,,,,,,,,,,,,,"1","2",,"3","52","16",Class II/Warm Water
"551",13-100-24.10II,Hinckley,"67","13","100",0.0373,200,41.21987,-81.70827,24.1,2008/07/18,"CW, JS, NM",,none/natural channel,"22",7,"15",sand,gravel,0,5,0,2,25,37,3,8,0,20,0,0,"7","25",10.5,"20",1.55,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"1.5",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","1",Medina,Hinckley,yes,2008/07/13,0.25,no,15,no,20.9,4.1,7.89,0.882,yes,no,,0,no,yes,visual and dip net,"15",yes,"30",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,abundant,abundant,rare,,common,abundant,,,,,rare,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","67","14",Class II/Warm Water
"552",13-100-24.71III-5II,Hinckley,"125","13","100",0.0356,200,41.21377,-81.70815,24.71,2008/08/22,"CW, JS, NM",,none/natural channel,"13",3,"6",clay or hardpan,sand,0,1,0,2,8,22,1,6,0,60,0,0,"7","25",21,"15",1.37,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"2.5",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","1",Medina,Hinckley,yes,2008/08/14,0.15,no,15,no,19.6,3.4,7.47,0.375,yes,no,,0,yes,no,visual and dip net,"10",yes,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,abundant,rare,rare,,very abundant,abundant,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","9",Class II/Warm Water
"553",13-100-24.71III-21I,Hinckley,"124","13","100",,200,41.21452,-81.70812,24.71,2008/08/22,"CW, JS, NM",,none/natural channel,"7",0,"0",clay or hardpan,clay or hardpan,0,5,0,2,1,2,1,5,0,84,0,0,"7","0",0,"5",0.98,moderate,moderate,"residential, park, new field","residential, park, new field",ephemeral,"2.5",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/08/14,0.15,no,13,no,,,,,yes,no,,0,no,yes,visual,"10",yes,"10",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12","2",Class I/Ephemeral
"554",13-100-24.10II-2I,Hinckley,"65","13","100",0.0176,200,41.22142,-81.70787,24.1,2008/07/17,"CW, JS, NM",,none/natural channel,"13",2.5,"6",sand,clay or hardpan,0,2,0,0.5,10,30,10,7.5,0,40,0,0,"7","25",21,"15",1.4,moderate,moderate,"residential, park, new field","residential, park, new field",intermittent,"3",flat to moderate,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/13,0.25,no,20,no,21.7,8.2,7.53,0.813,yes,no,,0,no,no,visual,"10",yes,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,abundant,,common,,rare,abundant,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","7",Class II/Warm Water
"555",,Williams Property,WP-06,"13","100",,200,41.28684,-81.70692,,2016/07/06,"CW, OL, SW, ES",,none/natural channel,"23",7,"15",gravel,sand,0,1,0,6,35,22,2,7,3,18,6,0,"8","30",25.4,"20",2.03,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate,no,WWH,East Branch Rocky River,Broadview Heights,"60","1",Cuyahoga,North Royalton,yes,2016/07/05,0.05,no,16,no,,,,,yes,no,visual and dip net,5,no,no,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,rare,rare,common,,abundant,abundant,common,,,,,,,common,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"2","73","15",Class II/Warm Water
"556",,Williams Property,WP-03,"13","100",,200,41.28274,-81.70686,,2016/07/06,"CW, OL, SW, ES",,none/natural channel,"16",5,"9",gravel,clay or hardpan,0,1,0,4,45,18,3,5,0,24,0,0,"7","25",15.2,"15",1.15,moderate,narrow,"immature forest, shrub or old field","immature forest, shrub or old field",stream flowing,>3.0,moderate to severe,no,WWH,East Branch Rocky River,Broadview Heights,"60","1",Cuyahoga,North Royalton,yes,2016/07/05,0.05,no,50,no,,,,,yes,no,visual and dip net,5,no,yes,visual and dip net,"10",yes,"20",,,,,,,,,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,common,,,abundant,abundant,,,,,,,,common,,,,,,,,,,,,,,,rare,,,,,,,,,,,,abundant,,,,,,,,,rare,,,,"1","1","2","4","56","17",Class II/Warm Water
"557",13-100-24.71III-1I,Hinckley,"126","13","100",0.0126,153,41.21096,-81.70761,24.71,2008/08/22,"CW, JS, NM",,none/natural channel,"7",1.5,"0",clay or hardpan,clay or hardpan,0,0.5,0,1,8,1.5,2,7,0,80,0,0,"7","0",0,"15",1.1,moderate,moderate,"residential, park, new field","residential, park, new field",ephemeral,"0.5",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","1",Medina,Hinckley,yes,2008/08/14,0.15,no,18,no,,,,,yes,no,,0,yes,yes,visual,"10",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22","0",Class I/Ephemeral
"558",19-066-2.00II,American Legion,,"19","66",0.32,200,41.38764,-81.70543,2,2014/08/19,"CW, OL, JM, BA",,recovered,"23",15,"15",gravel,sand,5,5,0,5,46,30,1,2,1,5,0,0,"8","30",30,"20",2.47,narrow,narrow,"residential, park, new field",urban or industrial,stream flowing,"1",moderate,no,WWH,West Creek,Cleveland South,"39","2",Cuyahoga,Parma,yes,2014/08/17,0.1,no,30,no,17.6,,7.55,1.072,yes,no,visual and dip net,5,yes,yes,visual and dip net,"10",yes,"30",,,,,,,,,"3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,abundant,,,,,rare,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,,"1",,"1","2","73","11",Class II/Warm Water
"559",13-100-24.19III-1I,Hinckley,"44","13","100",0.0109,200,41.22421,-81.70731,24.19,2008/07/10,"CW, JS, NM",,none/natural channel,"12",3,"6",sand,clay or hardpan,0,3,0,0,1,40,10,17,0,29,0,0,"6","25",21,"15",1.2,wide,moderate,mature forest or wetland,"residential, park, new field",intermittent,"3",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/09,1,no,13,no,17.6,3.3,7.29,1.033,yes,no,visual,10,no,no,visual and dip net,"15",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,common,rare,common,,rare,abundant,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52","11",Class II/Warm Water
"560",,Williams Property,WP-02,"13","100",0.0697,140,41.28312,-81.70637,,2016/07/06,"CW, OL, SW, ES",,none/natural channel,"22",8,"15",gravel,sand,0,1,0,7,34,25,3,10,0,20,0,0,"7","30",25.4,"20",2.7,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1",moderate to severe,no,WWH,East Branch Rocky River,Broadview Heights,"60","2",Cuyahoga,North Royalton,yes,2016/07/05,0.05,no,18,no,,,,,yes,no,visual and dip net,5,no,yes,visual and dip net,"10",yes,"20",,,,,,,,,"7","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,rare,,,abundant,common,,,rare,,common,,,rare,,,,,,,,,,,,,,,rare,rare,,,,,,,,,,,abundant,,,,,,,,,rare,,,,"1","2","2","5","72","26",Class III/Spring Water
"561",13-100-24.10II-3I,Hinckley,"64","13","100",,146,41.22049,-81.70705,24.1,2008/07/17,"CW, JS, NM",,none/natural channel,"12",1,"6",sand,clay or hardpan,0,1,0,0,15,35,10,15,0,24,0,0,"6","15",6,"5",0.72,moderate,moderate,"residential, park, new field","residential, park, new field",intermittent,"1.5",severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/13,0.25,no,12,no,,,,,yes,no,,0,no,yes,visual,"10",yes,"15",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,common,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32","3",Class I/Ephemeral
"562",,Williams Property,WP-07,"13","100",0.72,200,41.28624,-81.70612,,2016/07/06,"CW, OL, SW, ES",,none/natural channel,"23",22,"15",gravel,sand,0,2,0,20,38,22,4,3,1,7,3,0,"8","20",49,"25",3.3,moderate,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2.5",moderate,no,WWH,East Branch Rocky River,Broadview Heights,"60","2",Cuyahoga,North Royalton,yes,2016/07/05,0.05,no,24,no,,,,,yes,yes,visual and dip net,10,yes,no,visual and dip net,"10",yes,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,abundant,,,rare,,,,rare,rare,abundant,rare,abundant,rare,,,,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,,,,"1","1","68","17",Class II/Warm Water
"563",,Williams Property,WP-01,"13","100",,200,41.28245,-81.70589,,2016/07/06,"CW, OL, SW, ES",,none/natural channel,"12",3,"6",clay or hardpan,sand,0,2,0,1,19,25,0,7,0,46,0,0,"6","15",7.6,"5",1,wide,narrow,mature forest or wetland,"immature forest, shrub or old field",intermittent,"0.5",moderate to severe,no,WWH,East Branch Rocky River,Broadview Heights,"60","0",Cuyahoga,North Royalton,yes,2016/07/05,0.05,no,18,no,,,,,yes,no,,0,no,yes,visual,"5",no,"0",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32","0",Class I/Ephemeral
"564",13-100-24.84IV-25I,Hinckley,"90","13","100",,155,41.20965,-81.7064,24.84,2008/08/04,"CW, JS",,none/natural channel,"13",1,"6",clay or hardpan,sand,0,0.1,0,0.1,0.8,25,0,19,5,50,0,0,"7","0",0,"5",0.95,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"0.5",severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/31,0.5,no,15,no,,,,,yes,no,,0,yes,no,visual,"10",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18","0",Class I/Ephemeral
"565",13-100-24.71III,Hinckley,"127","13","100",0.28,200,41.21316,-81.706,24.71,2019/06/19,"CW, OL, BC",,none/natural channel,"22",1,"15",gravel,sand,0,1,0,0,35,31,10,1,2,20,0,0,"7","20",56,"20",1.83,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2.5",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","3",Medina,Hinckley,yes,2019/06/18,0.04,no,25,no,15,,,,yes,yes,,,yes,no,,,yes,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,rare,,,,rare,common,,,,,,,,rare,,rare,,,,,,rare,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,"3","1",,"4","62","15",Class II/Warm Water
"566",13-100-24.71III,Hinckley,"127","13","100",0.28,200,41.21323,-81.70593,24.71,2008/08/22,"CW, JS, NM",,none/natural channel,"22",4,"15",gravel,sand,0,1,0,3,43,30,7,4,0,12,0,0,"7","20",37,"20",2.4,narrow,narrow,mature forest or wetland,"residential, park, new field",stream flowing,"2.5",flat to moderate,no,WWH,East Branch Rocky River,West Richfield,"9","3",Medina,Hinckley,yes,2008/08/14,0.15,no,20,no,21.5,5.2,7.64,1.268,no,yes,visual and dip net,10,yes,yes,visual and dip net,"10",yes,"50",,,,,,,,,"2",,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,common,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,abundant,common,common,common,common,abundant,abundant,rare,common,,,abundant,rare,,common,,,,,,,,common,,,,,,,,,,rare,,,,,,,,,abundant,,,,,,,,,,,,abundant,"3","1","2","6","62","34",Class III/Spring Water
"567",13-100-24.19III-1II,Hinckley,"47","13","100",0.0511,200,41.22124,-81.70572,24.19,2008/07/10,"CW, JS, NM",,none/natural channel,"22",15,"15",sand,gravel,0.5,4.5,0,10,25,35,0,5,0,20,0,0,"7","25",18,"20",2.02,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,>3.0,moderate,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/09,1,no,20,no,19.1,7.3,8.26,1.12,yes,no,visual and dip net,15,yes,yes,visual and dip net,"20",yes,"45",,,,,,,,,"5",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,rare,common,abundant,rare,,common,abundant,rare,,,,common,,,,,,,,,,,common,,,,,,,abundant,common,,common,,,,,,,,,abundant,,,,,,,,,,,rare,common,"1","3","3","7","67","34",Class III/Spring Water
"568",13-100-24.19III,Hinckley,"43","13","100",0.47,200,41.21946,-81.70572,24.19,2017/06/16,"CW, OL, RF",,none/natural channel,"27",35,"21",gravel,cobble,0,5,0,30,40,21,3,1,0,0,0,0,"6","20",33,"30",5.27,wide,narrow,mature forest or wetland,"residential, park, new field",stream flowing,"1",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","3",Medina,Hinckley,yes,2017/06/14,0.49,no,40,no,,,,,yes,yes,visual and dip net,5,no,yes,visual and dip net,"10",yes,"60",,,,,,,,,"5",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,abundant,,rare,,,,,,,,,,very abundant,very abundant,,,,,very abundant,,,very abundant,,,,,,,,common,,,,,,rare,very abundant,,,common,,,,,,,,,abundant,,,,rare,,,,,common,,,,"2","3","3","8","77","30",Class III/Spring Water
"569",13-100-24.19III-2I,Hinckley,"45","13","100",0.00846,200,41.22538,-81.70562,24.19,2008/07/10,"CW, JS, NM",,none/natural channel,"12",11,"6",sand,clay or hardpan,0,1,0,1,9,40,0,15,0,25,0,0,"6","0",0,"5",0.75,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"1",severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/09,1,no,15,no,,,,,no,no,,0,no,yes,visual,"15",yes,"15",,,,,,,,,,,,,,,,,,,,,,,,"5","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","3",Class I/Ephemeral
"570",13-100-24.19III,Hinckley,"43","13","100",0.47,200,41.21949,-81.70569,24.19,2019/07/08,"CW, OL, BC, KW",,none/natural channel,"21",25,"15",gravel,sand,0,6,0,19,40,30,1,4,0,0,0,0,"6","20",60.9,"25",3.2,wide,wide,mature forest or wetland,"immature forest, shrub or old field",stream flowing,"1.5",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","3",Medina,Hinckley,yes,2019/07/07,0.05,no,50,no,17,,,,yes,yes,,,yes,yes,,,yes,"60",,,,,,,,,"19","4","1",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,common,common,,common,abundant,abundant,,,,,rare,,,very abundant,,,,,,,,common,,,,,,,very abundant,,,abundant,,,,,,,,,abundant,,rare,,,,,,,common,,,,"2","2","3","7","66","32",Class III/Spring Water
"571",13-100-24.19III,Hinckley,"43","13","100",0.47,200,41.2192,-81.70566,24.19,2014/07/11,"CW, JM, KK",,none/natural channel,"22",20,"15",gravel,sand,0,4,0,16,50,20,1,3,0,6,0,0,"7","20",56,"20",2.9,wide,narrow,mature forest or wetland,"residential, park, new field",stream flowing,"1",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","3",Medina,Hinckley,yes,2014/07/08,0.61,no,24,no,16.2,5.43,7.51,0.455,yes,yes,visual and dip net,10,yes,yes,visual and dip net,"15",yes,"50",,,,,,,,,"1",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,common,,,rare,rare,,common,rare,rare,,very abundant,rare,,,,,common,,,very abundant,,,,,,,,rare,,,,,,,very abundant,,,rare,,,,,,,,,common,,,,,,,,,rare,,,,"2","2","2","6","62","31",Class III/Spring Water
